Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-Jan-17,24.75,25,24.25,24.35,24.45994261,296587,640,7254501,157247,53.02,0.75,-0.4
12-Jan-17,25.2,25.25,24.6,24.75,24.90981931,297913,650,7420959,137070,46.01,0.65,-0.45
11-Jan-17,25.3,25.45,25.05,25.2,25.23415607,257149,589,6488938,113465,44.12,0.4,-0.1
10-Jan-17,25,25.35,25,25.15,25.10745692,394372,692,9901678,191081,48.45,0.35,0.15
9-Jan-17,25.3,25.4,24.9,25,25.1798392,256835,468,6467064,132540,51.61,0.5,-0.3
6-Jan-17,25.8,25.9,24.95,25.15,25.32811978,458357,754,11609321,223156,48.69,0.95,-0.65
5-Jan-17,25.7,25.9,25.45,25.7,25.70951287,482252,1139,12398464,164760,34.16,0.45,0
4-Jan-17,24.9,25.6,24.75,25.4,25.22539681,605572,1459,15275794,209964,34.67,0.85,0.5
3-Jan-17,24.35,25.15,24.25,24.55,24.6613682,513230,1042,12656954,127130,24.77,0.9,0.2
2-Jan-17,24.15,24.6,23.9,24.3,24.22559158,708147,1206,17155280,260315,36.76,0.7,0.15
30-Dec-16,24,24.4,23.8,24.15,24.17384726,685343,1190,16567377,409701,59.78,0.6,0.15
29-Dec-16,23.6,23.9,23.3,23.75,23.63070635,296753,579,7012483,155428,52.38,0.6,0.15
28-Dec-16,23.35,23.9,23.35,23.5,23.68694505,358592,853,8493949,159867,44.58,0.55,0.15
27-Dec-16,23.25,23.65,22.75,23.5,23.27810504,455292,1090,10598335,185179,40.67,0.9,0.25
26-Dec-16,23.9,23.9,22.95,23.05,23.23855264,443399,980,10303951,226745,51.14,0.95,-0.85
23-Dec-16,24.05,24.25,23.55,23.9,23.9524866,387617,866,9284391,124708,32.17,0.7,-0.15
22-Dec-16,24.55,24.65,23.85,24.05,24.19577605,555972,1181,13452174,184794,33.24,0.8,-0.5
21-Dec-16,25.1,25.25,24.6,24.75,24.86102786,503842,954,12526030,133557,26.51,0.65,-0.35
20-Dec-16,25.85,25.95,24.75,24.85,25.23100763,482378,1190,12170883,193865,40.19,1.2,-1
19-Dec-16,25.7,26.3,25.5,25.65,25.82658285,560775,1385,14482902,183518,32.73,0.8,-0.05
16-Dec-16,25.85,26.1,25.3,25.45,25.65851176,497206,1091,12757566,188180,37.85,0.8,-0.4
15-Dec-16,24.95,26.1,24.5,25.7,25.64509474,650506,1539,16682288,198891,30.57,1.6,0.75
14-Dec-16,26.4,26.8,25,25.25,25.9439521,973239,2085,25249666,276103,28.37,1.8,-1.15
13-Dec-16,25.85,26.5,25.55,26.15,26.10564131,928330,2199,24234650,277991,29.95,0.95,0.3
12-Dec-16,25.75,26.3,25.2,25.6,25.78721473,858034,2087,22126307,289044,33.69,1.1,-0.15
9-Dec-16,25.1,26.3,24.9,25.65,25.65275558,1644444,3670,42184520,585555,35.61,1.4,0.55
8-Dec-16,24.65,25.1,24.45,24.8,24.80252272,500412,1087,12411480,202542,40.48,0.65,0.15
7-Dec-16,24.9,25.15,24.1,24.2,24.53786682,437441,982,10733869,160848,36.77,1.05,-0.7
6-Dec-16,24.9,25.4,24.65,24.8,25.00877043,408532,999,10216883,172120,42.13,0.75,-0.1
5-Dec-16,24.8,25.2,24.45,24.85,24.81739303,463082,1154,11492488,205286,44.33,0.75,0.05
2-Dec-16,24.05,25.8,24.05,24.7,24.9460038,1907449,4827,47583230,590228,30.94,1.75,0.65
1-Dec-16,24.2,24.4,23.65,23.75,23.96367324,608367,1103,14578708,200353,32.93,0.75,-0.45
30-Nov-16,24.25,24.45,23.85,24.15,24.15852546,723480,1327,17478210,240988,33.31,0.6,-0.1
29-Nov-16,24.15,24.6,23.8,24,24.15627247,674623,1325,16296377,167194,24.78,0.8,-0.15
28-Nov-16,23.7,24.6,23.7,24.05,24.17213243,851025,1713,20571089,252235,29.64,0.9,0.35
25-Nov-16,23.85,24.4,23.6,23.9,23.89044031,845603,1647,20201828,329164,38.93,0.8,0.05
24-Nov-16,23.3,24.45,22.65,23.5,23.68331233,1834492,3446,43446847,398775,21.74,1.8,0.2
23-Nov-16,21.5,23.25,21.15,23,22.19613482,1669520,3090,37056891,462008,27.67,2.1,1.5
22-Nov-16,21.5,21.7,20.75,21.2,21.16633975,1102731,1915,23340779,376116,34.11,0.95,-0.3
21-Nov-16,22.8,22.9,20.75,20.95,21.61193892,1115997,2118,24118859,433793,38.87,2.15,-1.85
18-Nov-16,22.8,23.2,22.5,22.85,22.91970116,1192595,2068,27333921,450678,37.79,0.7,0.05
17-Nov-16,22.6,23.3,22.3,22.55,22.70402522,1091941,2164,24791456,332467,30.45,1,-0.05
16-Nov-16,23.2,23.6,22.5,22.6,22.94219207,1463865,2609,33584272,454488,31.05,1.1,-0.6
15-Nov-16,25,25,22,22.35,22.88574166,2979415,5777,68186122,1045119,35.08,3,-2.65
